MAPA	CVE_ENT	NOM_ENT	NOM_ABR	CVE_MUN	NOM_MUN	CVE_LOC	NOM_LOC	AMBITO	LATITUD	LONGITUD	LAT_DECIMAL	LON_DECIMAL	ALTITUD	CVE_CARTA	POB_TOTAL	POB_MASCULINA	POB_FEMENINA	TOTAL DE VIVIENDAS HABITADAS
"010020216"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0216"	"El Río"	"R"	"22°08´49.334"N"	"102°02´46.304"W"	"22.14703700"	"-102.04619500"	"1989"	"F13B89"	"0"	"0"	"0"	"0"
"010020217"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0217"	"Santa Rita"	"R"	"22°02´05.866"N"	"101°53´00.097"W"	"22.03496200"	"-101.88336000"	"2084"	"F14A81"	"32"	"14"	"18"	"10"
"010020218"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0218"	"Sector de Producción Número 3"	"R"	"22°14´29.027"N"	"102°01´12.821"W"	"22.24139600"	"-102.02022700"	"2020"	"F13B89"	"66"	"30"	"36"	"15"
"010020220"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0220"	"Sector de Producción Número 1"	"R"	"22°14´23.911"N"	"102°00´37.976"W"	"22.23997500"	"-102.01054900"	"2020"	"F13B89"	"69"	"35"	"34"	"16"
"010020221"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0221"	"Sector de Producción Número 2"	"R"	"22°13´52.835"N"	"102°00´54.696"W"	"22.23134200"	"-102.01519300"	"2020"	"F13B89"	"56"	"29"	"27"	"15"
"010020222"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0222"	"El Chamizal [Sector de Producción]"	"R"	"22°17´27.678"N"	"102°03´20.768"W"	"22.29102100"	"-102.05576900"	"2046"	"F13B79"	"10"	"*"	"*"	"2"
"010020223"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0223"	"Guadalupe Ángeles [Rancho]"	"R"	"22°03´08.665"N"	"102°06´15.918"W"	"22.05240700"	"-102.10442200"	"1961"	"F13B89"	"0"	"0"	"0"	"0"
"010020225"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0225"	"Rosa Luz Alegría [Sector]"	"R"	"22°04´15.964"N"	"102°00´35.391"W"	"22.07110000"	"-102.00983100"	"2027"	"F13B89"	"6"	"*"	"*"	"1"
"010020226"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0226"	"20 de Noviembre [Sociedad]"	"R"	"22°09´57.501"N"	"102°03´56.521"W"	"22.16597300"	"-102.06570000"	"2031"	"F13B89"	"5"	"*"	"*"	"2"
"010020227"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0227"	"El Águila (Deshidratadora Santa Anita) [Granja]"	"R"	"22°04´33.219"N"	"102°00´48.719"W"	"22.07589400"	"-102.01353300"	"2030"	"F13B89"	"3"	"*"	"*"	"1"
"010020228"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0228"	"El Chavarasno [Sociedad]"	"R"	"22°16´58.745"N"	"102°02´50.763"W"	"22.28298400"	"-102.04743400"	"2044"	"F13B79"	"0"	"0"	"0"	"0"
"010020229"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0229"	"Río Casa [Sociedad]"	"R"	"22°05´03.911"N"	"102°04´57.188"W"	"22.08441900"	"-102.08255200"	"1969"	"F13B89"	"9"	"4"	"5"	"4"
"010020230"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0230"	"Empresa Ejidal [Sociedad]"	"R"	"22°10´23.982"N"	"102°02´45.415"W"	"22.17332800"	"-102.04594800"	"2011"	"F13B89"	"0"	"0"	"0"	"0"
"010020231"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0231"	"La Espesura [Sociedad]"	"R"	"22°03´26.950"N"	"101°59´37.400"W"	"22.05748600"	"-101.99372200"	"2032"	"F14A81"	"6"	"*"	"*"	"2"
"010020232"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0232"	"La Palma I [Sociedad]"	"R"	"22°04´04.398"N"	"101°58´41.908"W"	"22.06788800"	"-101.97830700"	"2045"	"F14A81"	"0"	"0"	"0"	"0"
"010020233"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0233"	"Las Cotorras [Sociedad l]"	"R"	"22°05´09.080"N"	"102°06´32.806"W"	"22.08585500"	"-102.10911300"	"2012"	"F13B89"	"0"	"0"	"0"	"0"
"010020235"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0235"	"Los Posada [Sociedad]"	"R"	"22°15´12.973"N"	"102°02´17.937"W"	"22.25360400"	"-102.03831600"	"2033"	"F13B79"	"16"	"9"	"7"	"5"
"010020236"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0236"	"Matorral de Abajo [Sociedad]"	"R"	"22°09´08.638"N"	"102°03´43.280"W"	"22.15239900"	"-102.06202200"	"2012"	"F13B89"	"0"	"0"	"0"	"0"
"010020237"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0237"	"Francisco Villa [Sector de Producción]"	"R"	"22°03´47.982"N"	"101°57´52.280"W"	"22.06332800"	"-101.96452200"	"2050"	"F14A81"	"0"	"0"	"0"	"0"
"010020238"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0238"	"Rodríguez Meneses [Sociedad]"	"R"	"22°06´56.875"N"	"102°04´12.502"W"	"22.11579900"	"-102.07013900"	"1985"	"F13B89"	"0"	"0"	"0"	"0"
"010020239"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0239"	"La Tabla del Tesoro"	"R"	"22°11´07.903"N"	"102°02´34.439"W"	"22.18552800"	"-102.04289900"	"2018"	"F13B89"	"-"	"-"	"-"	"-"
"010020240"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0240"	"Tanque San Hilario"	"R"	"22°09´43.072"N"	"102°02´12.174"W"	"22.16196400"	"-102.03671500"	"1997"	"F13B89"	"3"	"*"	"*"	"1"
"010020241"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0241"	"Las Tres Marías"	"R"	"22°16´14.670"N"	"102°02´22.715"W"	"22.27074100"	"-102.03964300"	"2036"	"F13B79"	"0"	"0"	"0"	"0"
"010020242"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0242"	"La Primavera [Viñedos]"	"R"	"22°05´13.179"N"	"101°58´25.990"W"	"22.08699400"	"-101.97388500"	"2048"	"F14A81"	"2"	"*"	"*"	"1"
"010020243"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0243"	"San Vicente"	"R"	"22°03´01.185"N"	"102°02´56.662"W"	"22.05032900"	"-102.04907200"	"1980"	"F13B89"	"349"	"181"	"168"	"79"
"010020244"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0244"	"El Plan (Cantarranas)"	"R"	"22°05´54.157"N"	"102°04´33.477"W"	"22.09837700"	"-102.07596500"	"1972"	"F13B89"	"5"	"*"	"*"	"1"
"010020245"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0245"	"La Loma (Tanque de las Palmitas)"	"R"	"22°05´28.169"N"	"102°03´42.332"W"	"22.09115800"	"-102.06175900"	"2004"	"F13B89"	"17"	"9"	"8"	"4"
"010020246"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0246"	"El Rascón (La Loma)"	"R"	"22°05´06.367"N"	"102°04´23.049"W"	"22.08510200"	"-102.07306900"	"2004"	"F13B89"	"8"	"*"	"*"	"2"
"010020248"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0248"	"El Naranjo"	"R"	"22°05´05.000"N"	"102°08´44.961"W"	"22.08472200"	"-102.14582200"	"2050"	"F13B89"	"0"	"0"	"0"	"0"
"010020249"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0249"	"El Encuentro [Rancho]"	"R"	"22°06´33.716"N"	"102°02´47.541"W"	"22.10936600"	"-102.04653900"	"2008"	"F13B89"	"12"	"*"	"*"	"2"
"010020250"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0250"	"El Fresno [Rancho]"	"R"	"22°17´14.429"N"	"102°03´50.966"W"	"22.28734100"	"-102.06415700"	"2061"	"F13B79"	"0"	"0"	"0"	"0"
"010020251"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0251"	"San Andrés [Rancho]"	"R"	"22°05´13.429"N"	"102°08´44.507"W"	"22.08706300"	"-102.14569600"	"2052"	"F13B89"	"2"	"*"	"*"	"1"
"010020253"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0253"	"Santuario del Tepozán"	"R"	"22°13´47.250"N"	"102°06´17.730"W"	"22.22979100"	"-102.10492500"	"2209"	"F13B89"	"0"	"0"	"0"	"0"
"010020254"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0254"	"La Curva"	"R"	"22°13´36.044"N"	"102°01´16.058"W"	"22.22667800"	"-102.02112700"	"2017"	"F13B89"	"12"	"5"	"7"	"3"
"010020255"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0255"	"Don José [Granja]"	"R"	"22°03´50.510"N"	"102°05´32.033"W"	"22.06403100"	"-102.09223100"	"1965"	"F13B89"	"0"	"0"	"0"	"0"
"010020256"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0256"	"Ninguno"	"R"	"22°17´39.586"N"	"102°02´10.077"W"	"22.29432900"	"-102.03613200"	"2029"	"F13B79"	"39"	"18"	"21"	"11"
"010020257"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0257"	"Ninguno"	"R"	"22°17´46.000"N"	"102°02´15.000"W"	"22.29611100"	"-102.03750000"	"2029"	"F13B79"	"-"	"-"	"-"	"-"
"010020258"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0258"	"Ninguno"	"R"	"22°17´41.000"N"	"102°02´07.000"W"	"22.29472200"	"-102.03527700"	"2029"	"F13B79"	"-"	"-"	"-"	"-"
"010020259"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0259"	"Licenciado Adolfo López Mateos"	"R"	"22°15´28.753"N"	"102°01´50.314"W"	"22.25798700"	"-102.03064200"	"2026"	"F13B79"	"323"	"166"	"157"	"76"
"010020260"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0260"	"Ninguno"	"R"	"22°13´58.812"N"	"102°01´35.116"W"	"22.23300300"	"-102.02642000"	"2026"	"F13B89"	"25"	"13"	"12"	"5"
"010020261"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0261"	"Ninguno"	"R"	"22°13´50.964"N"	"102°01´22.966"W"	"22.23082300"	"-102.02304500"	"2020"	"F13B89"	"28"	"11"	"17"	"4"
"010020262"	"01"	"Aguascalientes"	"Ags."	"002"	"Asientos"	"0262"	"Los Cuates"	"R"	"22°13´06.228"N"	"102°02´21.285"W"	"22.21839600"	"-102.03924600"	"2046"	"F13B89"	"2"	"*"	"*"	"1"
